journal,field,openalex_id,doi,title,publication_date,authors,cited_by_count,abstract
American Economic Review,econ,https://openalex.org/W4406965573,https://doi.org/10.1257/aer.20211455,Regulating Conglomerates: Evidence from an Energy Conservation Program in China,2025-01-30,Chen Qiao-yi; Chen Zhao; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,67,"We study a prominent energy regulation affecting large Chinese manufacturers that are part of broader conglomerates. Using detailed firm-level data and difference-in-differences research designs, we show that regulated firms cut output and shifted some production to unregulated firms within their conglomerate instead of improving their energy efficiency. To account for conglomerate and market spillovers, we interpret these results through the lens of an industry equilibrium model featuring conglomerate production. The policy raises welfare if the per ton benefits of carbon reduction exceed $161. Alternative policies that exploit public information on business networks can increase aggregate energy savings by 10 percent. (JEL D22, L22, L51, L60, P28, P31, Q48)"
American Economic Review,econ,https://openalex.org/W4406965600,https://doi.org/10.1257/aer.20211145,Start-Up Costs and Market Power: Lessons from the Renewable Energy Transition,2025-01-30,Akshaya Jha; Gordon Leslie,25,"Firms expect to recover the fixed costs required to start production by earning positive operating profits in subsequent periods. We develop a dynamic competitive benchmark that accounts for start-up costs, showing that static markups overstate the rents attributable to market power in an electricity market where generators frequently stop and start production in response to rooftop solar output. We demonstrate that the large-scale expansion of solar capacity can lead to increases in the collective profitability of fossil fuel plants because competition softens at sunset—plants displaced by solar during the day must incur start-up costs to compete in the evening. (JEL D24, L13, L25, L94, Q41, Q42)"
American Economic Review,econ,https://openalex.org/W4406965578,https://doi.org/10.1257/aer.20230075,The Benefits of Revealing Race: Evidence from Minority-Owned Local Businesses,2025-01-30,Abhay Aneja; Michael Luca; Oren Reshef,10,"Is there latent demand to support Black-owned businesses? We explore this question by analyzing a new feature that made it easier to identify Black-owned restaurants on an online platform. We find that labeling restaurants as minority-owned increased customer engagement and firm performance, as measured by online traffic, calls, orders, and in-person visits. These effects were more pronounced in areas characterized by greater support for the Democratic Party and lower implicit bias against racial minorities. Labeled restaurants also see an increase in the fraction of reviews that are written by White customers. (JEL D22, J15, L25, L83, L86)"
American Economic Review,econ,https://openalex.org/W4406965558,https://doi.org/10.1257/aer.20211137,Hedging When Applying: Simultaneous Search with Correlation,2025-01-30,S. Nageeb Ali; Ran I. Shorrer,7,"Applicants to schools, colleges, and jobs hedge by applying to a broad range of options, including reaches, matches, and safeties. We develop a simultaneous-search framework that rationalizes this practice. In this framework, the admissions process is correlated across schools so that if an applicant is rejected by one school, she is more likely to be rejected by more selective schools. We find that an applicant then optimally targets both safeties and reaches. We characterize how the optimal portfolio varies with the applicant’s beliefs, risk attitudes, and application costs and offer an algorithm that delivers the optimal portfolio in polynomial time. (JEL D81, D83, D91, I23)"
American Economic Review,econ,https://openalex.org/W4406965605,https://doi.org/10.1257/aer.20191950,Robust Monopoly Regulation,2025-01-30,Yingni Guo; Eran Shmaya,7,"We study how to regulate a monopolistic firm using a robust-design, non-Bayesian approach. We derive a policy that minimizes the regulator’s worst-case regret, where regret is the difference between the regulator’s complete-information payoff and his realized payoff. When the regulator’s payoff is consumers’ surplus, he caps the firm’s average revenue. When his payoff is the total surplus of both consumers and the firm, he offers a piece rate subsidy to the firm while capping the total subsidy. For intermediate cases, the regulator combines these three policy instruments to balance three goals: protecting consumers’ surplus, mitigating underproduction, and limiting potential overproduction. (JEL D21, D42, D83, H25, L51)"
American Economic Review,econ,https://openalex.org/W4406965539,https://doi.org/10.1257/aer.20240309,Sticky Wages on the Layoff Margin,2025-01-30,Steven J. Davis; Pawel M. Krolikowski,6,"We design and field an innovative survey of unemployment insurance (UI) recipients that yields new insights about wage stickiness on the layoff margin. A majority of UI recipients would accept pay cuts of 5–10 percent to save their jobs, and one-third would accept a 25 percent cut. Yet worker-employer discussions about cuts in pay, benefits, or hours in lieu of layoffs are exceedingly rare. Roughly one-quarter of the layoffs in our sample violate the theoretical condition for bilaterally efficient separations. We draw on our findings and other evidence to assess theories of wage stickiness and its role in layoffs. (JEL C83, E24, J31, J63, J65)"
American Economic Review,econ,https://openalex.org/W4406965554,https://doi.org/10.1257/aer.20220226,Political Social Learning: Short-Term Memory and Cycles of Polarization,2025-01-30,Gilat Levy; Ronny Razin,4,"This paper investigates the effect of voters’ short-term memory on political outcomes by considering politics as a collective learning process. We find that short-term memory may lead to cycles of polarization and consensus across parties’ platforms. Following periods of party consensus, short-term memory implies that there is little variation in voters’ data and therefore limited information about the true state of the world. This in turn allows parties to further their own interests and hence polarize by offering different policies. In contrast, periods of polarization and turnover involve sufficient variation in the data that allows voters to be confident about what the correct policy is, forcing both parties to offer this policy. (JEL D72, D83, E61)"
American Economic Review,econ,https://openalex.org/W4406973626,https://doi.org/10.1257/aer.20230393,The Good Wife? Reputation Dynamics and Financial Decision-Making inside the Household,2025-01-30,Nina Buchmann; Pascaline Dupas; Roberta Ziparo,3,"We study reputation dynamics within the household in a setting where women regularly receive transfers from their husbands for household purchases. We propose a signaling model in which wives try to maintain a good reputation in the eyes of their husbands to receive high transfers. This leads them to (i) avoid risky purchases (goods with unknown returns) and (ii) knowingly overuse low-return goods to hide bad purchase decisions—we call this the intrahousehold sunk cost effect. We present supportive evidence for the model from a series of experiments with married couples in rural Malawi. (JEL D13, D82, J12, J16, O12, O18)"
American Economic Review,econ,https://openalex.org/W4406965553,https://doi.org/10.1257/aer.20240374,Empowering Adolescents to Transform Schools: Lessons from a Behavioral Targeting,2025-01-30,Şule Alan; Elif Kubilay,2,"We test the effectiveness of a behavioral program grounded in the idea that status granting and self-persuasion might yield a robust behavioral change in disadvantaged adolescents. We enlist socially connected senior middle school students with high emotional intelligence as “student-teachers” and entrust them with delivering a curriculum to their junior peers. The program empowers student-teachers, leading them to improve their social environment. It reduces disciplinary incidents and antisocial behavior among student-teachers and their friendship networks. The intervention significantly enhances the likelihood of admission to selective high schools for student-teachers, offering a cost-effective way to help disadvantaged adolescents escape neighborhood disadvantages. (JEL H52, I21, I24, I28, J13, O15)"
American Economic Review,econ,https://openalex.org/W4406965628,https://doi.org/10.1257/aer.20230496,A Theory of Dynamic Inflation Targets,2025-01-30,Christopher Clayton; Andreas Schaab,1,"Should central banks’ inflation targets remain set in stone? We study a dynamic mechanism design problem between a government and a central bank. The central bank has persistent private information about structural shocks. Firms learn the state from the central bank’s reports and form inflation expectations. A dynamic inflation target implements the full-information commitment allocation. The central bank is delegated the authority to adjust the target’s level and flexibility one period in advance. A declining natural interest rate and a flattening Phillips curve imply opposite optimal target adjustments. Our results speak to practical policy questions of inflation target design. (JEL D82, E12, E31, E52, E58)"
