journal,field,openalex_id,doi,title,publication_date,authors,cited_by_count,abstract,matched_keywords
American Economic Review,econ,https://openalex.org/W4406965573,https://doi.org/10.1257/aer.20211455,Regulating Conglomerates: Evidence from an Energy Conservation Program in China,2025-01-30,Chen Qiao-yi; Chen Zhao; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,67,"We study a prominent energy regulation affecting large Chinese manufacturers that are part of broader conglomerates. Using detailed firm-level data and difference-in-differences research designs, we show that regulated firms cut output and shifted some production to unregulated firms within their conglomerate instead of improving their energy efficiency. To account for conglomerate and market spillovers, we interpret these results through the lens of an industry equilibrium model featuring conglomerate production. The policy raises welfare if the per ton benefits of carbon reduction exceed $161. Alternative policies that exploit public information on business networks can increase aggregate energy savings by 10 percent. (JEL D22, L22, L51, L60, P28, P31, Q48)",carbon
American Economic Review,econ,https://openalex.org/W4406965600,https://doi.org/10.1257/aer.20211145,Start-Up Costs and Market Power: Lessons from the Renewable Energy Transition,2025-01-30,Akshaya Jha; Gordon Leslie,25,"Firms expect to recover the fixed costs required to start production by earning positive operating profits in subsequent periods. We develop a dynamic competitive benchmark that accounts for start-up costs, showing that static markups overstate the rents attributable to market power in an electricity market where generators frequently stop and start production in response to rooftop solar output. We demonstrate that the large-scale expansion of solar capacity can lead to increases in the collective profitability of fossil fuel plants because competition softens at sunset—plants displaced by solar during the day must incur start-up costs to compete in the evening. (JEL D24, L13, L25, L94, Q41, Q42)",fossil fuel; renewable energy
American Economic Review,econ,https://openalex.org/W4408999048,https://doi.org/10.1257/aer.20230501,Fighting Climate Change: International Attitudes toward Climate Policies,2025-03-31,Antoine Dechezleprêtre; Adrien Fabre; Tobias Kruse; Bluebery Planterose; Ana Sánchez Chico; Stefanie Stantcheva,112,"This paper explores global perceptions and understanding of climate change and policies, examining factors that influence support for climate action and the impact of different types of information. We conduct large-scale surveys with 40,000 respondents from 20 countries, providing new international data on attitudes toward climate change and respondents’ socioeconomic backgrounds and lifestyles. We identify three key perceptions affecting policy support: perceived effectiveness of policies in reducing emissions, their impact on low-income households, and their effect on respondents’ households (self-interest). Educational videos clarifying policy mechanisms increase support for climate policies; those merely highlighting climate change’s impacts do not. (JEL C83, D83, D91, Q54, Q58)",climate; emission
American Economic Review,econ,https://openalex.org/W4409962861,https://doi.org/10.1257/aer.20230346,The Role of People versus Places in Individual Carbon Emissions,2025-05-01,Eva Lyubich,3,"There is substantial spatial heterogeneity in household carbon emissions. I leverage movers in two decades of administrative Decennial Census and American Community Survey data to estimate place effects—the amount by which carbon emissions change for the same household living in different places—for almost 1,000 cities and roughly 61,500 neighborhoods across the United States. I estimate that place effects account for 14–23 percent of overall heterogeneity. A change in neighborhood-level place effects from 1 standard deviation above the mean to 1 below would reduce household carbon emissions from residential energy and commuting by about 40 percent. (JEL D12, D15, L94, Q41, Q54, R11, R23)",carbon; emission
American Economic Review,econ,https://openalex.org/W4413791624,https://doi.org/10.1257/aer.20230761,Is Air Pollution Regulation Too Lenient? Evidence from US Offset Markets,2025-08-28,Joseph Shapiro; Reed Walker,4,"We develop a framework to estimate the marginal cost of air pollution regulation and apply it to assess policy efficiency. We exploit a provision of the Clean Air Act that requires new plants to pay incumbent facilities to reduce emissions. This “offset” policy creates hundreds of local pollution markets, differing by pollutant and location. Theory and transaction data suggest that offset prices reveal marginal abatement costs. We compare these prices to marginal benefits of pollution reduction estimated using leading air quality models and find that, on average, marginal benefits exceed marginal costs by more than a factor of ten. (JEL D61, H23, K32, Q52, Q53, Q58)",emission; pollution
American Economic Review,econ,https://openalex.org/W4416694440,https://doi.org/10.1257/aer.20220308,A Goldilocks Theory of Fiscal Deficits,2025-11-26,Atif Mian; Ludwig Straub; Amir Sufi,1,"We develop a tractable framework for deficit and debt dynamics. A “free lunch” fiscal deficit—one that raises spending without higher future taxes—is sustainable without zero lower bound (ZLB) only when R &lt; G − φ, where φ is the sensitivity of the interest rate to the debt level. With the ZLB, both high and low deficits can increase debt, as the latter weaken demand and reduce nominal growth at the ZLB. A rise in income inequality expands fiscal space outside the ZLB, but contracts it at the ZLB. Calibrating the model, we find little space for “free lunch” policies for the United States in 2019, but significant space for Japan. (JEL D31, E23, E43, E62, H62, H63)",sustainable
Econometrica,econ,https://openalex.org/W4414150919,https://doi.org/10.3982/ecta20153,Can Trade Policy Mitigate Climate Change?,2025-01-01,Farid Farrokhi; Ahmad Lashkaripour,9,"Trade policy is often cast as a solution to the free‐riding problem in international climate agreements. This paper examines the extent to which trade policy can deliver on this promise. We incorporate global supply chains of carbon and climate externalities into a multi‐country, multi‐industry general equilibrium trade model. By deriving theoretical formulas for optimal carbon and border taxes, we quantify the maximum efficacy of two trade policy solutions to the free‐riding problem. Adding optimal carbon border taxes to existing tariffs proves largely ineffective, delivering only 3.4% of what could be achieved under globally optimal carbon pricing. In contrast, Nordhaus's (2015) climate club framework, in which border taxes are used as contingent penalties to deter free‐riding, can achieve 33–68% of the globally optimal carbon reduction, depending on the initial coalition (EU, EU + US, or EU + US + China). In all cases, the climate club ensures universal compliance, thereby preserving free trade.",climate; carbon
Econometrica,econ,https://openalex.org/W4408885678,https://doi.org/10.3982/ecta22923,Cap‐and‐Trade and Carbon Tax Meet Arrow–Debreu,2025-01-01,Robert M. Anderson; Haosui Duanmu,5,"We propose two general equilibrium models, quota equilibrium, and emission tax equilibrium. Government specifies quotas or taxes on emissions, and then refrains from further action. All results remain valid regardless of how government chooses its emissions target. Quota equilibrium exists; the allocation of emission property rights impacts the distribution of welfare. If the only externality arises from total net emissions, quota equilibrium is Pareto optimal among all feasible outcomes with the same total net emissions. For certain tax rates, emission tax equilibrium may not exist. Every quota equilibrium can be realized as an emission tax equilibrium and vice versa. However, different quota prices may arise in equilibrium from a single quota, and different emission levels may arise in equilibrium from a single tax rate. This leads to inequivalence between quota and emission tax equilibria.",carbon; emission
Econometrica,econ,https://openalex.org/W4410940470,https://doi.org/10.3982/ecta20411,"Soaking up the Sun: Battery Investment, Renewable Energy, and Market Equilibrium",2025-01-01,R. Andrew Butters; Jackson Dorsey; Gautam Gowrisankaran,3,"Renewable energy and battery storage are seen as complementary technologies that can together facilitate reductions in carbon emissions. We develop and estimate a framework to calculate the equilibrium effects of large‐scale battery storage. Using data from California, we find that the first storage unit breaks even by 2024 without subsidies when the renewable energy share reaches 50%. Equilibrium effects are important: the first 5000 MWh of storage capacity would reduce wholesale electricity prices by 5.6%, but an increase from 25,000 to 50,000 MWh would only reduce these prices by 2.6%. Large‐scale batteries will reduce revenues to both dispatchable generators and renewable energy sources. The equilibrium effects lead battery adoption to be virtually non‐existent until 2030, without a storage mandate or subsidy. A 30% capital cost subsidy—such as the one in the U.S. Inflation Reduction Act—achieves 5000 MWh of battery capacity by 2024, similar to the level required under California's storage mandate.",carbon; renewable energy; emission
Econometrica,econ,https://openalex.org/W4414150936,https://doi.org/10.3982/ecta22749,Running Primary Deficits Forever in a Dynamically Efficient Economy: Feasibility and Optimality,2025-01-01,Andrew B. Abel; Stavros Panageas,1,"Government debt can be rolled over forever without primary surpluses in some stochastic economies, including some economies that are dynamically efficient. In an overlapping‐generations model with constant growth rate, g , of labor‐augmenting productivity, and with shocks to the durability of capital, we show that along a balanced growth path, the maximum sustainable ratio of bonds to capital is attained when the risk‐free interest rate, r f , equals g . Furthermore, this maximal ratio maximizes utility per capita along a balanced growth path and ensures that the economy is dynamically efficient.",sustainable
Journal of Political Economy,econ,https://openalex.org/W3205472959,https://doi.org/10.1086/734725,"Climate Change, the Food Problem, and the Challenge of Adaptation through Sectoral Reallocation",2025-01-09,Ishan Nath,45,"This paper evaluates the potential for global reallocation between agricultural and nonagricultural production to contribute to climate change adaptation. Empirical estimates using a global sample of firms suggest that rising temperatures reduce productivity less in nonagriculture than angriculture, implying large potential gains if hot countries could increase food imports and shift labor toward manufacturing. However, model counterfactuals show that subsistence consumption needs and high trade barriers combine to create a “food problem” in which climate change instead intensifies agricultural specialization in especially vulnerable regions. Simulations suggest that reducing trade barriers can significantly reduce climate damages, especially in poor countries.",climate
Journal of Political Economy,econ,https://openalex.org/W4406322196,https://doi.org/10.1086/734779,Policy Uncertainty in the Market for Coal Electricity: The Case of Air Toxics Standards,2025-01-13,Gautam Gowrisankaran; Ashley Langer; Wendan Zhang,2,"Government policy uncertainty affects irreversible decisions including technology adoption and exit. This paper quantifies uncertainty surrounding the Mercury and Air Toxics Standards (MATS). We estimate a dynamic oligopoly model for coal-fired electricity generators that recovers generators’ beliefs regarding future MATS enforcement. We develop the approximate belief oligopoly equilibrium concept, where players understand that their decisions impact aggregate market states. MATS enforcement created substantial uncertainty: the perceived enforcement probability dropped to 43%. Resolving uncertainty early would increase profits by $1.39 billion but also increase pollution costs by $0.652–$1.776 billion. Had exit been unlikely, resolving uncertainty early would have decreased pollution.",pollution
Journal of Political Economy,econ,https://openalex.org/W4406650393,https://doi.org/10.1086/734875,Panics and Early Warnings,2025-01-21,Deepal Basak; Zhen Zhou,1,"We study optimal adversarial information design in a dynamic regime change game. Agents decide when to attack, if at all. We assume (1) delay incurs a continuous cost and (2) agents doubt the correctness of their actions. The game may end in a “disaster” due to weak fundamentals or panic—agents attacking despite sound fundamentals. We propose a “timely disaster alert” that promptly warns about impending disasters, making waiting for and following the alert the unique rationalizable strategy, thereby eliminating panic. We relate this optimal policy to early-warning systems such as bank stress tests and debt sustainability analysis.",sustainability
Journal of Political Economy,econ,https://openalex.org/W4407898316,https://doi.org/10.1086/735506,"Soil Heterogeneity, Social Learning, and the Formation of Close-Knit Communities",2025-02-24,Itzchak Tzachi Raz,1,"This paper examines how environmental heterogeneity influences the formation of close-knit communities. I provide support for the social learning hypothesis, which posits that diverse environmental conditions limited American farmers’ ability to learn from neighbors, weakening communal ties. I document a negative county-level association between soil heterogeneity and close-knit communities. Using individual-level data on nineteenth-century domestic migrants, I show that this association is not driven by selective in-migration and document farmers’ cultural adaptation using a difference-in-differences framework. Focusing on mechanisms, I show that soil heterogeneity slowed farmers’ agricultural learning and prompted those who depended on social networks to migrate elsewhere.",environmental
Journal of Political Economy,econ,https://openalex.org/W4411369400,https://doi.org/10.1086/737236,Leveraging the Disagreement on Climate Change: Theory and Evidence,2025-06-17,Laura Bakkensen; Toàn Phan; Tsz-Nga Wong,2,,climate
Journal of Political Economy,econ,https://openalex.org/W4413273734,https://doi.org/10.1086/738139,Time-Limited Subsidies: Optimal Taxation with Implications for Renewable Energy Subsidies,2025-08-18,Michael Ricks; Owen Kay,2,,renewable energy
Journal of Political Economy,econ,https://openalex.org/W4415623274,https://doi.org/10.1086/739325,Efficiency and Redistribution in Environmental Policy: An Equilibrium Analysis of Agricultural Supply Chains,2025-10-28,Tomás Domínguez-Iino,1,,environmental
Quarterly Journal of Economics,econ,https://openalex.org/W4407240810,https://doi.org/10.1093/qje/qjaf009,Can Pollution Markets Work in Developing Countries? Experimental Evidence from India,2025-02-03,Michael Greenstone; Rohini Pande; Nicholas Ryan; Anant Sudarshan,10,"Abstract Market-based environmental regulations are seldom used in low-income countries, where pollution is highest but state capacity is often low. We collaborated with the Gujarat Pollution Control Board (GPCB) to design and experimentally evaluate the world’s first particulate-matter emissions market, which covered industrial plants in a large Indian city. There are three main findings. First, the market functioned well. Treatment plants, randomly assigned to the emissions market, traded permits to become significant net sellers or buyers. After trading, treatment plants held enough permits to cover their emissions 99% of the time, compared with just 66% compliance with standards under the command-and-control status quo. Second, treatment plants reduced pollution emissions, relative to control plants, by 20%–30%. Third, the market reduced abatement costs by an estimated 11%, holding constant emissions. This cost-savings estimate is based on plant-specific marginal cost curves that we estimate from the universe of bids to buy and sell permits in the market. The combination of pollution reductions and low costs imply that the emissions market has mortality benefits that exceed its costs by at least 25 times.",emission; pollution; environmental
